"filename", "language", "JSON", "PHP", "HTML", "CSS", "JavaScript", "YAML", "Markdown", "Shell Script", "Docker", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\Components\Accueil\entrepriseUser.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\Accueil\infoUser.php", "PHP", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 60
"c:\xampp\htdocs\JobRadar\Components\Presentation\entreprise.php", "PHP", 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 228
"c:\xampp\htdocs\JobRadar\Components\Presentation\experiance.php", "PHP", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 188
"c:\xampp\htdocs\JobRadar\Components\Profile\index.php", "PHP", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 107
"c:\xampp\htdocs\JobRadar\Components\Prophile\entrepriseProphile.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\Prophile\infoExperiance.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\xampp\htdocs\JobRadar\Components\Prophile\prophile.php", "PHP", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 245
"c:\xampp\htdocs\JobRadar\Components\ajout_entreprise.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 52
"c:\xampp\htdocs\JobRadar\Components\ajout_experiance.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 75
"c:\xampp\htdocs\JobRadar\Components\connexion.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 34
"c:\xampp\htdocs\JobRadar\Components\deconnexion.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\xampp\htdocs\JobRadar\Components\footer.html", "HTML", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\header.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 86
"c:\xampp\htdocs\JobRadar\Components\inscription.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"c:\xampp\htdocs\JobRadar\api\annonce\add_annonce.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 62
"c:\xampp\htdocs\JobRadar\api\annonce\selectAllAnnonce.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\xampp\htdocs\JobRadar\api\database.php", "PHP", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 138
"c:\xampp\htdocs\JobRadar\api\delete_exp.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 49
