Date : 2025-03-11 17:03:44
Directory : c:\xampp\htdocs\JobRadar
Total : 218 files,  18063 codes, 6571 comments, 2710 blanks, all 27344 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| PHP          |        169 |     13,597 |      6,401 |      2,093 |     22,091 |
| CSS          |         11 |      1,598 |         35 |        151 |      1,784 |
| Markdown     |          7 |      1,315 |          0 |        290 |      1,605 |
| JavaScript   |          8 |        551 |         58 |         79 |        688 |
| JSON         |          4 |        275 |          0 |          4 |        279 |
| YAML         |          6 |        258 |         54 |         48 |        360 |
| XML          |          2 |        229 |          0 |          2 |        231 |
| Shell Script |          4 |        116 |         22 |         31 |        169 |
| HTML         |          6 |        115 |          0 |          6 |        121 |
| Docker       |          1 |          9 |          1 |          6 |         16 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        218 |     18,063 |      6,571 |      2,710 |     27,344 |
| . (Files)                                                                                                        |          3 |        231 |          4 |          7 |        242 |
| Components                                                                                                       |         15 |      1,184 |         46 |         88 |      1,318 |
| Components (Files)                                                                                               |          7 |        323 |          8 |         30 |        361 |
| Components\Accueil                                                                                               |          2 |        103 |          4 |          4 |        111 |
| Components\Presentation                                                                                          |          2 |        366 |         20 |         30 |        416 |
| Components\Profile                                                                                               |          1 |         93 |          6 |          8 |        107 |
| Components\Prophile                                                                                              |          3 |        299 |          8 |         16 |        323 |
| api                                                                                                              |         19 |      1,099 |         97 |        134 |      1,330 |
| api (Files)                                                                                                      |         11 |        671 |         61 |         81 |        813 |
| api\annonce                                                                                                      |          2 |         48 |         12 |         14 |         74 |
| api\entreprise                                                                                                   |          5 |        304 |         18 |         32 |        354 |
| api\prophile                                                                                                     |          1 |         76 |          6 |          7 |         89 |
| public                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| public\documents                                                                                                 |          2 |          2 |          0 |          0 |          2 |
| script                                                                                                           |          8 |        551 |         58 |         79 |        688 |
| style                                                                                                            |         11 |      1,598 |         35 |        151 |      1,784 |
| vendor                                                                                                           |        160 |     13,398 |      6,331 |      2,251 |     21,980 |
| vendor (Files)                                                                                                   |          1 |         20 |          1 |          5 |         26 |
| vendor\composer                                                                                                  |         10 |        687 |        384 |        147 |      1,218 |
| vendor\phpmailer                                                                                                 |        149 |     12,691 |      5,946 |      2,099 |     20,736 |
| vendor\phpmailer\phpmailer                                                                                       |        149 |     12,691 |      5,946 |      2,099 |     20,736 |
| vendor\phpmailer\phpmailer (Files)                                                                               |          8 |      1,475 |         49 |        258 |      1,782 |
| vendor\phpmailer\phpmailer\.github                                                                               |          8 |        268 |         55 |         61 |        384 |
| vendor\phpmailer\phpmailer\.github (Files)                                                                       |          2 |         13 |          5 |          4 |         22 |
| vendor\phpmailer\phpmailer\.github\ISSUE_TEMPLATE                                                                |          1 |         17 |          0 |          7 |         24 |
| vendor\phpmailer\phpmailer\.github\actions                                                                       |          2 |         11 |          2 |          9 |         22 |
| vendor\phpmailer\phpmailer\.github\actions\build-docs                                                            |          2 |         11 |          2 |          9 |         22 |
| vendor\phpmailer\phpmailer\.github\workflows                                                                     |          3 |        227 |         48 |         41 |        316 |
| vendor\phpmailer\phpmailer\.phan                                                                                 |          1 |         13 |         23 |          6 |         42 |
| vendor\phpmailer\phpmailer\docs                                                                                  |          1 |          5 |          0 |          4 |          9 |
| vendor\phpmailer\phpmailer\examples                                                                              |          4 |        302 |          0 |         47 |        349 |
| vendor\phpmailer\phpmailer\examples (Files)                                                                      |          3 |         93 |          0 |         46 |        139 |
| vendor\phpmailer\phpmailer\examples\images                                                                       |          1 |        209 |          0 |          1 |        210 |
| vendor\phpmailer\phpmailer\language                                                                              |         57 |      1,256 |        336 |        171 |      1,763 |
| vendor\phpmailer\phpmailer\src                                                                                   |          7 |      4,053 |      3,004 |        644 |      7,701 |
| vendor\phpmailer\phpmailer\test                                                                                  |         63 |      5,319 |      2,479 |        908 |      8,706 |
| vendor\phpmailer\phpmailer\test (Files)                                                                          |          9 |        432 |        256 |        111 |        799 |
| vendor\phpmailer\phpmailer\test\Fixtures                                                                         |         11 |         34 |         60 |         37 |        131 |
| vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest                                                        |         11 |         34 |         60 |         37 |        131 |
| vendor\phpmailer\phpmailer\test\Language                                                                         |          1 |         51 |         36 |         11 |         98 |
| vendor\phpmailer\phpmailer\test\OAuth                                                                            |          1 |         48 |         21 |          8 |         77 |
| vendor\phpmailer\phpmailer\test\PHPMailer                                                                        |         39 |      4,669 |      2,023 |        716 |      7,408 |
| vendor\phpmailer\phpmailer\test\POP3                                                                             |          1 |         67 |         55 |         18 |        140 |
| vendor\phpmailer\phpmailer\test\Security                                                                         |          1 |         18 |         28 |          7 |         53 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                         | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\xampp\htdocs\JobRadar\Components\Accueil\entrepriseUser.php                                                   | PHP          |         47 |          2 |          2 |         51 |
