"filename", "language", "CSS", "JavaScript", "PHP", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\Components\Accueil\entrepriseUser.php", "PHP", 0, 0, -47, 0, -2, -2, -51
"c:\xampp\htdocs\JobRadar\Components\Accueil\infoUser.php", "PHP", 0, 0, -56, 0, -2, -2, -60
"c:\xampp\htdocs\JobRadar\Components\Presentation\entreprise.php", "PHP", 0, 0, -203, 0, -7, -18, -228
"c:\xampp\htdocs\JobRadar\Components\Presentation\experiance.php", "PHP", 0, 0, -163, 0, -13, -12, -188
"c:\xampp\htdocs\JobRadar\Components\Profile\index.php", "PHP", 0, 0, -93, 0, -6, -8, -107
"c:\xampp\htdocs\JobRadar\Components\Prophile\entrepriseProphile.php", "PHP", 0, 0, -47, 0, -2, -2, -51
"c:\xampp\htdocs\JobRadar\Components\Prophile\infoExperiance.php", "PHP", 0, 0, -21, 0, -2, -4, -27
"c:\xampp\htdocs\JobRadar\Components\Prophile\prophile.php", "PHP", 0, 0, -231, 0, -4, -10, -245
"c:\xampp\htdocs\JobRadar\Components\ajout_entreprise.php", "PHP", 0, 0, -46, 0, -2, -4, -52
"c:\xampp\htdocs\JobRadar\Components\ajout_experiance.php", "PHP", 0, 0, -68, 0, -2, -5, -75
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\entrepriseUser.php", "PHP", 0, 0, 47, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\infoUser.php", "PHP", 0, 0, 56, 0, 2, 2, 60
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\entreprise.php", "PHP", 0, 0, 203, 0, 7, 18, 228
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\experiance.php", "PHP", 0, 0, 163, 0, 13, 12, 188
"c:\xampp\htdocs\JobRadar\Components\chomeur\Profile\index.php", "PHP", 0, 0, 93, 0, 6, 8, 107
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\entrepriseProphile.php", "PHP", 0, 0, 47, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\infoExperiance.php", "PHP", 0, 0, 21, 0, 2, 4, 27
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\prophile.php", "PHP", 0, 0, 231, 0, 4, 10, 245
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_entreprise.php", "PHP", 0, 0, 46, 0, 2, 4, 52
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_experiance.php", "PHP", 0, 0, 68, 0, 2, 5, 75
"c:\xampp\htdocs\JobRadar\Components\chomeur\footer.html", "HTML", 0, 0, 0, 31, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\chomeur\header.php", "PHP", 0, 0, 76, 0, 2, 8, 86
"c:\xampp\htdocs\JobRadar\Components\chomeur\index.php", "PHP", 0, 0, 126, 0, 4, 6, 136
"c:\xampp\htdocs\JobRadar\Components\employeur\Accueil\entrepriseUser.php", "PHP", 0, 0, 29, 0, 0, 2, 31
"c:\xampp\htdocs\JobRadar\Components\employeur\Accueil\infoEmployeur.php", "PHP", 0, 0, 26, 0, 0, 3, 29
"c:\xampp\htdocs\JobRadar\Components\employeur\Presentation\entreprise.php", "PHP", 0, 0, 195, 0, 5, 17, 217
"c:\xampp\htdocs\JobRadar\Components\employeur\Profile\index.php", "PHP", 0, 0, 93, 0, 6, 8, 107
