"filename", "language", "PHP", "Shell Script", "Markdown", "XML", "HTML", "JSON", "YAML", "Docker", "CSS", "JavaScript", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\entrepriseUser.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Accueil\infoUser.php", "PHP", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 60
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\entreprise.php", "PHP", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18, 228
"c:\xampp\htdocs\JobRadar\Components\chomeur\Presentation\experiance.php", "PHP", 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 12, 188
"c:\xampp\htdocs\JobRadar\Components\chomeur\Profile\index.php", "PHP", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 107
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\entrepriseProphile.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 51
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\infoExperiance.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\xampp\htdocs\JobRadar\Components\chomeur\Prophile\prophile.php", "PHP", 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 245
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_entreprise.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 52
"c:\xampp\htdocs\JobRadar\Components\chomeur\ajout_experiance.php", "PHP", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 75
"c:\xampp\htdocs\JobRadar\Components\chomeur\footer.html", "HTML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"c:\xampp\htdocs\JobRadar\Components\chomeur\header.php", "PHP", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 86
